Video ID,Title,Description,Category,Duration (seconds),Publish Date,Publish Time (24h),Views,Likes,Comments,Default Audio Language,Channel Title,Channel Subscribers,Total Videos Posted,Channel Views,Channel Creation Date,Channel Country,Title Length,Hashtag Count,Description Present,Duration Category,Day of Week,Month,Quarter,Year,Video Age (days),Engagement Rate,Channel Title Length,Channel Size,Average Video Views,Channel Age (days),Category Definition,Audio Language Name,Channel Country Name,Publish Hour,Time of Day,Sentiment Polarity,Sentiment Category
Du8mbxGQ9Ek,"This is ‘the most profound advance in technology ever,’ according to Bill Gates",Bill Gates reveals the incredible advancements in artificial intelligence that are revolutionizing sectors from global health to energy ...,25,598,2025-01-14,20:30:01,89641,1242,382,en,CNN,17400000,169026,17174823842,2005-10-02,Unknown,79,0,Yes,Medium,Tuesday,January,1,2025,5,1.81167099876172,3,10M+,101610.544188468,7049,News & Politics,English,Unknown,20,Evening,0.291666666666666,Positive
3b-20XM_09Y,Tech that Died in 2024,Nothing in tech lasts forever. CNET's Bridget Carey says goodbye to the tech gadgets and services that vanished from our lives in ...,28,342,2024-12-23,13:00:09,690515,19428,1612,en,CNET,3940000,23053,1878532302,2006-05-05,US,22,0,Yes,Medium,Monday,December,4,2024,27,3.04700115131459,4,<10M,81487.5418383724,6834,Science & Technology,English,United States,13,Afternoon,0.0,Neutral
Rn4si0Xorhc,UNREAL Optical Illusion Gadgets,"shorts #tech #gadgets #opticalillusion I spend a LOT of time trying to make my videos as concise, polished and useful as possible ...",28,59,2024-05-14,11:18:16,24376884,1232378,2179,en-GB,Mrwhosetheboss,20400000,1765,6510896239,2011-04-20,GB,31,0,Yes,Very Short,Tuesday,May,2,2024,250,5.06445778713965,14,10M+,3688893.05325779,5023,Science & Technology,English (British),United Kingdom,11,Morning,0.0,Neutral
wXc2tao51D4,Top 10 Emerging Technologies of 2024 (According to Science),Top 10 Emerging Technologies of 2024 (According to Science) Are you curious about the latest advancements shaping our future ...,28,645,2024-08-17,14:15:04,318823,3407,155,en,AI Uncovered,173000,516,16417719,2023-04-09,SE,59,0,Yes,Medium,Saturday,August,3,2024,155,1.1172343275108698,12,<1M,31817.2848837209,651,Science & Technology,English,Sweden,14,Afternoon,0.5,Positive
eqkbs5Z3y-M,( New ) Free internet 100% Working -  New Technology 2019,Hello Everyone! Welcome to my channel. My channel talking about ( New ) Free internet 100% Working - New Technology 2019 ...,28,617,2019-05-26,10:23:43,5601662,75245,2496,Unknown,Energy Tech,839000,289,89311974,2018-12-19,US,57,0,Yes,Medium,Sunday,May,2,2019,2065,1.38782025763068,11,<1M,309037.972318339,2223,Science & Technology,Unknown,United States,10,Morning,0.224242424242424,Positive
KvN3JXICzdM,Top 20 New Technology Trends That Will Define the Future,"Top 20 New Technology Trends That Will Define the Future Are you ready to see what the future holds? In this video, we unveil ...",28,802,2024-11-27,13:00:31,267254,3815,122,en,AI Uncovered,173000,516,16417719,2023-04-09,SE,56,0,Yes,Medium,Wednesday,November,4,2024,53,1.47313043022742,12,<1M,31817.2848837209,651,Science & Technology,English,Sweden,13,Afternoon,0.212121212121212,Positive
lCHqmzynO-s,Overrated vs. Underrated Tech,Join my Discord server: https://discord.gg/gohar I'll edit your college essay: https://nextadmit.com/services/essay/ Get into ...,27,31,2024-07-08,18:04:31,15924118,773967,2124,Unknown,Gohar Khan,6010000,610,3760560938,2013-09-22,Unknown,29,0,Yes,Very Short,Monday,July,3,2024,195,4.87368279988882,10,<10M,6164853.99672131,4137,Education,Unknown,Unknown,18,Evening,0.0,Neutral
THw-wXt7wyM,5 Tech Myths Busted!,"shorts I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you would like to ...",28,56,2022-10-02,19:40:14,27761813,1951560,6225,en-GB,Mrwhosetheboss,20400000,1765,6510896239,2011-04-20,GB,20,0,Yes,Very Short,Sunday,October,4,2022,840,7.05207905549972,14,10M+,3688893.05325779,5023,Science & Technology,English (British),United Kingdom,19,Evening,0.0,Neutral
v4H2fTgHGuc,"The amazing, but unsettling future of technology...",Get the free 80000 hours career guide https://80000hours.org/fireship Take a look at 13 trends in technology that will affect ...,28,550,2025-01-03,17:38:04,1268482,58717,2208,en,Fireship,3510000,699,526761808,2017-04-07,US,51,0,Yes,Medium,Friday,January,1,2025,16,4.80298498520278,8,<10M,753593.430615164,2844,Science & Technology,English,United States,17,Afternoon,0.0333333333333333,Positive
mBFf-aYoV6Q,17 weird new tech products at CES 2025 you need right now...,Try Brilliant free for 30 days https://brilliant.org/fireship You'll also get 20% off an annual premium subscription. Learn about the ...,28,325,2025-01-09,18:36:24,680244,27324,1044,en,Fireship,3510000,699,526761808,2017-04-07,US,60,0,Yes,Medium,Thursday,January,1,2025,10,4.17026831548679,8,<10M,753593.430615164,2844,Science & Technology,English,United States,18,Evening,-0.0259740259740259,Negative
